#{"t_start": 1533039087.7004023, "env_id": "Hopper-v2"}
r,l,t
9.301124,19,0.869746
17.517131,19,0.878376
20.997171,21,0.887702
29.208975,35,0.90313
8.438938,19,0.911585
11.396239,30,0.924828
11.877599,16,0.931979
17.810637,21,0.941293
6.415017,12,0.94649
10.466147,12,0.951641
19.21272,21,0.961021
15.457856,22,0.970932
6.098616,9,0.974817
19.14914,19,0.983198
20.570892,20,0.992103
7.257522,12,0.997366
19.386464,31,1.011103
8.347419,27,1.023097
7.14048,9,1.02707
8.831078,11,1.031922
8.752426,16,1.039722
14.785958,33,1.054456
60.953567,59,1.080302
10.295508,23,1.090495
19.111738,32,1.104574
13.016221,16,1.111699
23.385121,22,1.121396
7.006176,11,1.126316
11.312893,26,1.137827
9.833527,16,1.145009
8.915634,12,1.150322
20.746088,24,1.161017
9.415291,14,1.167104
7.516905,14,1.173243
7.643605,15,1.17987
5.075502,8,1.183453
16.067461,19,1.191184
129.094419,86,1.224879
18.082587,19,1.232439
4.980811,8,1.235544
12.109788,15,1.241498
7.825634,11,1.246028
7.083946,11,1.250921
45.612745,36,1.26701
10.245881,13,1.27267
6.719474,9,1.276732
7.005566,11,1.281439
10.891573,15,1.288004
50.866236,36,1.303886
22.805572,23,1.314007
15.778022,18,1.321901
18.750862,18,1.329802
13.678894,20,1.338679
8.68502,13,1.344343
7.057599,14,1.350551
22.878022,29,1.363312
12.341899,14,1.369483
20.276058,20,1.378299
4.109868,9,1.382321
19.171078,26,1.394011
8.460306,15,1.400692
20.605283,19,1.409113
5.642351,14,1.415376
31.350101,26,1.426954
4.753388,14,1.433255
8.358859,14,1.439392
7.243111,13,1.445167
11.514778,18,1.453132
8.095489,10,1.457555
11.618991,17,1.465015
6.593227,22,1.474747
5.5703,8,1.478297
16.192662,16,1.485297
11.719935,14,1.491489
10.808395,20,1.500382
6.167684,14,1.506612
29.020808,28,1.51911
5.175909,15,1.525844
21.116553,42,1.544336
5.30323,10,1.548786
19.447885,20,1.557589
25.881878,25,1.568656
112.580249,71,1.600322
11.402611,16,1.607398
8.898833,25,1.618502
6.07924,9,1.622483
7.176135,13,1.628279
5.62564,16,1.635424
9.23436,11,1.64084
14.075124,18,1.648838
13.575878,28,1.661194
15.775037,15,1.667762
9.394419,23,1.67785
