#{"t_start": 1533039198.3577511, "env_id": "Hopper-v2"}
r,l,t
9.301124,19,0.85789
17.517131,19,0.866403
20.997171,21,0.875706
29.208975,35,0.891128
8.438938,19,0.899606
11.396239,30,0.912851
11.877599,16,0.920008
17.810637,21,0.929214
6.415017,12,0.934491
10.466147,12,0.9397
19.21272,21,0.948994
15.457856,22,0.958931
6.098616,9,0.962836
19.14914,19,0.971211
20.570892,20,0.979984
7.257522,12,0.985272
19.386464,31,0.999019
8.347419,27,1.010991
7.14048,9,1.014964
8.831078,11,1.019811
8.752426,16,1.026925
14.785958,33,1.041481
60.953567,59,1.06727
10.295508,23,1.077459
19.111738,32,1.09155
13.016221,16,1.098685
23.385121,22,1.108362
7.006176,11,1.113272
11.312893,26,1.124786
9.833527,16,1.131984
8.915634,12,1.137271
20.746088,24,1.147942
9.415291,14,1.154004
7.516905,14,1.160148
7.643605,15,1.166777
5.075502,8,1.170267
16.067461,19,1.178588
129.094419,86,1.216049
18.082587,19,1.224443
4.980811,8,1.227815
12.109788,15,1.234436
7.825634,11,1.239202
7.083946,11,1.244073
45.612745,36,1.260145
10.245881,13,1.265801
6.719474,9,1.269847
7.005566,11,1.274543
10.891573,15,1.281097
50.866236,36,1.296984
22.805572,23,1.307044
15.778022,18,1.314923
18.750862,18,1.322778
13.678894,20,1.332399
8.68502,13,1.339531
7.057599,14,1.345227
22.878022,29,1.356784
12.341899,14,1.362362
20.276058,20,1.370317
4.109868,9,1.373955
19.171078,26,1.384504
8.460306,15,1.390638
20.605283,19,1.399213
5.642351,14,1.405505
31.350101,26,1.417123
4.753388,14,1.42347
8.358859,14,1.429985
7.243111,13,1.435809
11.514778,18,1.444484
8.095489,10,1.450124
11.618991,17,1.456913
6.593227,22,1.466331
5.5703,8,1.469589
16.192662,16,1.476752
11.719935,14,1.482975
10.808395,20,1.491874
6.167684,14,1.498156
29.020808,28,1.510681
5.175909,15,1.517442
21.116553,42,1.536051
5.30323,10,1.540494
19.447885,20,1.549338
25.881878,25,1.560446
112.580249,71,1.592057
11.402611,16,1.599187
8.898833,25,1.610359
6.07924,9,1.614353
7.176135,13,1.620184
5.62564,16,1.627383
9.23436,11,1.6322
14.075124,18,1.640176
13.575878,28,1.652524
15.775037,15,1.659158
9.394419,23,1.669415
10.602964,14,1.675694
8.865139,17,1.683276
6.367935,11,1.688163
8.354964,14,1.694356
4.565361,10,1.698872
28.302697,29,1.71159
11.11322,15,1.718237
7.063629,26,1.729932
13.283587,15,1.736555
4.543313,11,1.741475
9.564266,22,1.751199
6.840384,11,1.756063
13.344822,18,1.764139
8.759994,11,1.768947
6.662491,9,1.772864
54.991861,63,1.800799
9.576607,30,1.814031
8.981268,11,1.818898
