entropy,EpisodesSoFar,TimestepsSoFar,surrgain,meankl,optimgain,TimeElapsed,ev_tdlam_before,EpLenMean,EpThisIter,EpRewMean,entloss
4.240013,251,4996,0.030141616,0.008582656,0.030141616,2.9309566020965576,0.012963652610778809,17.9,251,14.139319777467364,0.0
4.224364,475,9970,0.033159662,0.008909362,0.033159662,5.579014778137207,0.37460243701934814,25.725,224,27.912503709017347,0.0
4.221024,618,14982,0.032319196,0.008518952,0.032319196,8.269582271575928,0.3113623857498169,32.8,143,42.24721838700215,0.0
4.19922,734,19926,0.03313216,0.008719976,0.03313216,10.940838813781738,0.421255886554718,39.675,116,54.8683679218809,0.0
4.179291,826,24901,0.030592754,0.008642005,0.030592754,13.592701196670532,0.3512728214263916,54.6,92,88.39125167741285,0.0
4.1657896,895,29999,0.025234692,0.008021316,0.025234692,16.2603497505188,0.37849533557891846,74.225,69,127.37151365820687,0.0
4.158863,953,34929,0.027034698,0.007837986,0.027034698,18.933812618255615,0.5772102475166321,86.4,58,169.62214755729923,0.0
4.126686,1003,39956,0.021361658,0.007458591,0.021361658,21.616437196731567,0.740373969078064,102.4,50,196.9618043043665,0.0
4.133544,1051,44987,0.022795312,0.007038057,0.022795312,24.288792371749878,0.8457196950912476,105.6,48,208.00516266871927,0.0
4.1116467,1097,49989,0.019227682,0.006602198,0.019227682,26.949825286865234,0.9264512360095978,110.775,46,226.56168080705964,0.0
4.098223,1142,54924,0.024416689,0.0074413256,0.024416689,29.625904321670532,0.9623372033238411,108.425,45,224.71248039855473,0.0
4.086836,1186,59944,0.025856014,0.006455726,0.025856014,32.314617395401,0.9749393239617348,114.025,44,246.18529213988768,0.0
4.0974317,1229,64990,0.025065094,0.006361646,0.025065094,35.00652360916138,0.9782100133597851,117.6,43,256.1241614078261,0.0
4.0864263,1269,69960,0.028179675,0.006939055,0.028179675,37.6290237903595,0.9466467648744583,124.25,40,276.2469297683465,0.0
4.0815415,1309,74986,0.027836002,0.0071719335,0.027836002,40.27331805229187,0.944043718278408,125.65,40,295.7655893487223,0.0
4.0607123,1346,79885,0.025442023,0.006816496,0.025442023,42.93836688995361,0.9607026614248753,132.15,37,308.98388259184986,0.0
4.0366273,1384,84946,0.025012933,0.0053390265,0.025012933,45.60272264480591,0.9687204845249653,134.175,38,323.22055614086827,0.0
4.026757,1420,89938,0.028472189,0.0063425186,0.028472189,48.36583590507507,0.9800652600824833,138.425,36,339.92869402895076,0.0
4.0146422,1456,94900,0.026524426,0.0075169676,0.026524426,51.07151007652283,0.9861426809802651,137.65,36,344.35268489448276,0.0
3.9660897,1491,99884,0.02682529,0.0072696237,0.02682529,53.78311634063721,0.986832058057189,142.05,35,368.3075960333325,0.0
3.9664524,1526,104989,0.025488192,0.0067512025,0.025488192,56.42785453796387,0.9534045681357384,145.8,35,376.9843155879518,0.0
