#{"env_id": "Hopper-v2", "t_start": 1533039257.8518956}
r,l,t
424.924879,153,0.97334
374.844742,140,1.031622
399.943585,155,1.096249
392.277121,156,1.161203
393.282422,152,1.22494
367.376464,142,1.284421
369.773859,143,1.344308
361.953454,148,1.406199
394.933494,153,1.469735
381.442244,151,1.532587
380.706887,139,1.590791
369.324652,149,1.653208
407.791203,151,1.717776
402.596091,157,1.783615
372.181834,146,1.848139
376.90564,148,1.913378
402.509483,151,1.980611
381.604317,139,2.03913
436.08293,158,2.108428
413.643338,150,2.174105
378.602758,145,2.237415
395.940032,146,2.300723
350.823939,142,2.36249
434.321834,158,2.430813
359.968891,139,2.491684
390.922489,156,2.560275
340.798531,143,2.623074
391.686408,154,2.690381
387.855238,152,2.756295
382.963638,147,2.819848
394.232557,144,2.882375
367.758482,138,2.939609
393.037696,147,3.004555
443.489198,157,3.818475
410.730953,147,3.88037
429.654586,160,3.946916
416.635787,152,4.012048
387.578461,148,4.076063
419.84162,156,4.143002
376.08212,143,4.205217
433.344804,152,4.271438
586.320636,219,4.366038
339.443222,142,4.428247
406.069279,154,4.494746
391.943196,142,4.556636
409.725268,146,4.619357
387.993255,142,4.681343
383.06576,149,4.745515
429.342643,157,4.812815
454.442099,162,4.880743
350.607376,139,4.939061
388.020323,148,5.00238
383.586163,143,5.057474
372.330608,142,5.112319
414.519494,151,5.170655
478.338465,176,5.238106
420.283043,159,5.298923
346.14754,146,5.354514
365.422172,143,5.409861
393.262577,152,5.468259
389.452262,151,5.527776
403.275325,141,5.5889
381.982507,144,5.651291
406.862269,157,5.718929
404.70487,154,5.78549
393.545391,146,5.848772
424.469512,155,6.417879
425.331113,153,6.48211
447.149064,164,6.548105
389.745557,140,6.608534
405.736835,154,6.67446
420.019776,151,6.741091
411.468529,145,6.804661
422.065516,158,6.870416
404.223752,155,6.935484
416.380276,152,7.00207
440.033925,160,7.072086
432.433397,155,7.13968
418.635818,168,7.211761
361.88622,131,7.269448
438.737125,160,7.340302
402.572315,146,7.404862
370.870767,136,7.464561
422.582587,154,7.53485
336.485221,141,7.596466
499.957225,169,7.66874
423.345577,156,7.736912
406.381601,148,7.802369
427.149062,153,7.868423
359.170839,142,7.939248
394.512731,145,8.005104
408.662744,144,8.067655
381.528669,145,8.132298
411.48746,161,8.204447
391.210564,142,8.272184
446.682381,160,8.344625
378.243242,142,8.406407
433.255483,154,8.480503
423.536172,152,8.549939
395.672601,151,9.084497
491.766731,175,9.158883
458.085662,162,9.228403
485.669209,171,9.303532
386.025984,166,9.380483
410.519434,145,9.444298
386.134184,151,9.510038
391.481461,145,9.572744
421.345287,152,9.634995
381.218527,141,9.694041
406.29188,147,9.757342
457.371453,159,9.827463
393.436688,150,9.892975
374.865244,152,9.958955
431.680809,156,10.02667
566.384257,201,10.107851
447.748838,160,10.177063
443.53442,169,10.250266
435.400662,154,10.315203
422.312347,150,10.379676
450.011532,162,10.449464
384.539652,141,10.504631
465.258784,164,10.573826
389.963733,150,10.641082
687.992826,256,10.750332
420.876098,148,10.816267
485.407905,183,10.897626
406.049602,145,10.962435
433.62219,148,11.028019
385.134568,149,11.092625
470.990285,169,11.166346
461.199625,164,11.722416
444.963153,154,11.791937
423.303468,150,11.857494
455.506253,161,11.927874
434.038471,176,12.004925
435.814633,151,12.072173
428.646758,160,12.142039
420.993654,148,12.20466
591.624161,203,12.2949
397.345825,145,12.357341
632.797463,218,12.452053
377.987465,148,12.516229
440.264703,155,12.582914
434.403088,153,12.648342
466.816732,161,12.715049
386.62549,147,12.779714
384.606863,135,12.832843
449.297169,158,12.894906
398.500902,143,12.955551
529.914812,199,13.040094
