#{"t_start": 1533046260.8497899, "env_id": "Hopper-v2"}
r,l,t
9.301124,19,0.866824
21.517443,22,0.877196
10.437397,17,0.885122
21.563042,29,0.898141
6.166677,22,0.908209
7.757994,29,0.921365
18.877299,20,0.930595
8.943534,15,0.937556
4.371086,9,0.941881
8.781293,12,0.947329
19.21272,21,0.956989
17.209746,20,0.96633
6.098616,9,0.97057
35.634525,25,0.981778
14.12378,19,0.990309
9.795855,33,1.004798
10.14114,16,1.011908
9.85994,13,1.018025
6.799199,9,1.022264
11.522221,15,1.029205
37.545659,54,1.05329
7.858483,24,1.064276
15.789533,19,1.07314
7.935716,19,1.081943
16.420026,17,1.089752
9.6591,16,1.097205
15.519935,20,1.106328
11.670096,18,1.114635
8.184321,11,1.119852
11.676503,22,1.129939
11.062309,15,1.136942
9.570948,12,1.142531
19.548085,30,1.494242
6.708762,15,1.501401
12.686426,17,1.509612
5.35274,8,1.514557
22.748057,21,1.524027
92.852633,56,1.548667
39.750791,38,1.5653
6.942406,10,1.570028
16.991009,21,1.57976
10.45894,16,1.587166
61.380855,41,1.605533
9.886752,14,1.612079
7.175001,11,1.617237
60.213849,54,1.640956
19.506232,28,1.653901
12.132686,15,1.660875
8.414599,10,1.665658
15.101186,23,1.676165
8.321682,12,1.681869
37.539306,37,1.698591
17.999569,19,1.707407
18.45887,19,1.716106
9.910999,16,1.723557
9.335163,11,1.728734
9.911424,15,1.735693
12.443103,13,1.74184
10.976162,17,1.749524
30.076249,25,1.760953
5.574872,14,1.767609
9.300227,13,1.77349
9.495326,14,1.779962
8.794517,14,1.78653
10.747927,13,1.873893
14.939914,36,1.889797
10.4209,14,1.896069
48.227582,37,1.911597
8.57388,16,1.918665
44.043513,34,1.933159
22.120832,26,1.944555
44.768605,48,1.964809
24.14619,28,1.976922
97.741665,55,2.000428
10.231499,14,2.006735
14.733742,18,2.014651
11.062981,23,2.024697
8.616319,12,2.030094
5.100038,8,2.033827
5.20211,15,2.040805
16.659554,18,2.048936
40.333403,63,2.076801
13.453087,17,2.084691
7.428593,9,2.088967
7.564949,15,2.095957
17.556429,28,2.108629
125.072798,70,2.139301
18.036966,18,2.147627
5.411938,10,2.152209
24.915923,27,2.164551
14.085204,21,2.174109
14.247297,15,2.180958
93.919235,61,2.207103
18.580869,38,2.224109
7.116285,11,2.229325
44.518746,38,2.245548
25.003537,31,2.356009
14.884994,22,2.365529
7.344003,11,2.370461
16.618155,18,2.378279
105.108546,94,2.416162
30.702961,27,2.42729
24.509066,30,2.439495
23.700674,35,2.454438
9.704797,14,2.460947
14.248225,21,2.470714
44.489502,38,2.487808
70.801397,46,2.508499
17.254808,41,2.526958
25.581818,24,2.537878
8.222174,16,2.545384
118.454894,71,2.577037
19.471323,29,2.590353
24.097791,26,2.602168
24.04977,28,2.61485
29.591042,25,2.626153
74.65286,44,2.645573
10.650942,14,2.652189
103.300624,81,2.687928
7.479288,11,2.693152
98.98128,60,2.7195
24.123472,28,2.732364
12.713161,23,2.74277
89.067179,51,2.765244
33.892035,46,2.786085
11.82098,17,2.793967
113.916898,67,2.823045
68.755343,40,2.840975
15.904419,15,2.96861
151.323364,74,3.001924
19.490022,18,3.010291
83.322533,49,3.031597
156.587416,79,3.066019
49.655121,30,3.079645
60.045359,42,3.097955
143.587495,75,3.13068
31.319957,27,3.142947
46.071363,28,3.15549
6.013838,15,3.162374
121.701614,85,3.199231
175.100307,99,3.241723
23.944637,20,3.250921
90.658598,54,3.274528
10.232693,30,3.288018
87.177792,49,3.30967
77.710316,45,3.329774
18.041916,18,3.338041
14.197257,18,3.346307
32.462837,39,3.363813
23.276272,19,3.372471
56.692207,43,3.391562
16.812464,22,3.401644
26.501379,29,3.414823
41.9418,35,3.430306
12.237909,26,3.442304
61.716017,43,3.461557
8.58177,11,3.466848
8.510046,12,3.472334
21.885074,20,3.481425
56.511012,34,3.495911
158.714219,77,3.66168
98.358241,57,3.686618
80.013156,45,3.706424
216.727831,98,3.748666
80.666326,62,3.776169
15.388168,15,3.783214
97.804507,62,3.810094
80.359421,52,3.833146
13.772689,37,3.849517
53.960624,33,3.864231
86.878711,55,3.888013
18.995384,21,3.897683
211.59168,95,3.939747
93.946072,60,3.965995
36.068862,28,3.978574
201.084975,90,4.017808
9.550565,12,4.0234
61.575206,43,4.042516
20.636205,26,4.054606
13.075324,18,4.062968
127.479474,77,4.095881
40.023388,63,4.124132
23.851248,23,4.134739
98.645678,57,4.159676
11.30563,12,4.165414
89.507805,55,4.189153
127.638366,87,4.227499
105.287975,62,4.254751
50.017093,60,4.281534
7.230356,11,4.28672
20.488272,34,4.302026
59.770314,48,4.323317
27.555915,23,4.506655
146.329,76,4.540249
25.670266,25,4.551306
14.879073,15,4.558075
219.484893,109,4.603823
99.699058,57,4.628235
85.536491,50,4.649986
61.437274,36,4.665555
169.610482,82,4.700395
58.479561,34,4.715107
91.370923,52,4.737084
178.968827,90,4.774951
54.117477,38,4.791327
108.735032,59,4.816427
101.819749,56,4.840265
131.011852,69,4.868896
181.744632,84,4.904504
205.473378,93,4.943601
58.571699,41,4.96101
58.96085,35,4.976109
68.244158,40,4.993427
13.307051,16,5.000572
218.391844,97,5.04142
53.761412,32,5.05526
62.40512,39,5.072092
152.858368,76,5.103705
194.404873,102,5.144083
70.156201,46,5.16226
96.939902,52,5.182681
207.411999,93,5.219467
63.784094,39,5.235421
116.05445,62,5.262945
136.153614,69,5.488311
214.825884,95,5.528587
21.13557,22,5.538193
154.077778,82,5.572345
214.914243,95,5.612252
11.406288,13,5.618024
125.18311,64,5.644889
138.195957,68,5.672862
23.384131,23,5.683049
177.002311,152,5.748233
74.48469,43,5.767644
101.992566,57,5.792867
209.489522,113,5.842143
139.76994,73,5.874833
42.404851,25,5.886342
247.162948,126,5.942189
211.826869,96,5.984215
57.555632,35,6.000079
214.568839,105,6.045529
77.716719,50,6.067948
219.72565,156,6.136153
67.338755,39,6.153671
144.984606,71,6.184821
77.244681,45,6.204934
60.729217,38,6.222109
62.148958,36,6.238135
