#{"env_id": "Hopper-v2", "t_start": 1533045696.2523017}
r,l,t
9.301124,19,0.859175
17.517131,19,0.867825
20.997171,21,0.877147
29.208975,35,0.89236
8.438938,19,0.900747
11.396239,30,0.913868
11.877599,16,0.920952
17.810637,21,0.93008
6.415017,12,0.935313
10.466147,12,0.940472
19.21272,21,0.94982
15.457856,22,0.959658
6.098616,9,0.963502
19.14914,19,0.971811
20.570892,20,0.980587
7.257522,12,0.985808
19.386464,31,0.999373
8.347419,27,1.01102
7.14048,9,1.014829
8.831078,11,1.019592
8.752426,16,1.026617
14.785958,33,1.040874
60.953567,59,1.066979
10.295508,23,1.077136
19.111738,32,1.091134
13.016221,16,1.097732
23.385121,22,1.107301
7.006176,11,1.112169
11.312893,26,1.12351
9.833527,16,1.130617
8.915634,12,1.135883
20.746088,24,1.146532
9.415291,14,1.152557
7.516905,14,1.158653
7.643605,15,1.165203
5.075502,8,1.168677
16.067461,19,1.176938
129.094419,86,1.214031
18.082587,19,1.222338
4.980811,8,1.225732
12.109788,15,1.232272
7.825634,11,1.237055
7.083946,11,1.241882
45.612745,36,1.25772
10.245881,13,1.263315
6.719474,9,1.267329
7.005566,11,1.271957
10.891573,15,1.278397
50.866236,36,1.294071
22.805572,23,1.304001
15.778022,18,1.311773
18.750862,18,1.319566
13.678894,20,1.32829
8.68502,13,1.333822
7.057599,14,1.339923
22.878022,29,1.352497
12.341899,14,1.358579
20.276058,20,1.367276
4.109868,9,1.371258
19.171078,26,1.382764
8.460306,15,1.389365
20.605283,19,1.397642
5.642351,14,1.4038
31.350101,26,1.415238
4.753388,14,1.421467
8.358859,14,1.427488
7.243111,13,1.433229
11.514778,18,1.441134
8.095489,10,1.445508
11.618991,17,1.45288
6.593227,22,1.462521
5.5703,8,1.466036
16.192662,16,1.472919
11.719935,14,1.479003
10.808395,20,1.487743
6.167684,14,1.493903
29.020808,28,1.506217
5.175909,15,1.512872
21.116553,42,1.531087
5.30323,10,1.535475
19.447885,20,1.544162
25.881878,25,1.555128
112.580249,71,1.586037
11.402611,16,1.593033
8.898833,25,1.603972
6.07924,9,1.607918
7.176135,13,1.613678
5.62564,16,1.620768
9.23436,11,1.62549
14.075124,18,1.633333
13.575878,28,1.645811
15.775037,15,1.652368
9.394419,23,1.662624
10.602964,14,1.668865
8.865139,17,1.676357
6.367935,11,1.681175
8.354964,14,1.687284
4.565361,10,1.691754
28.302697,29,1.704566
11.11322,15,1.711376
7.063629,26,1.722896
13.283587,15,1.729447
4.543313,11,1.734272
9.564266,22,1.743865
6.840384,11,1.74866
13.344822,18,1.756617
8.759994,11,1.761372
6.662491,9,1.76524
54.991861,63,1.792699
9.576607,30,1.805722
8.981268,11,1.81048
5.000581,8,1.81396
17.329577,31,1.827743
42.1035,38,1.844155
8.9426,20,1.852812
7.665856,13,1.858412
14.899123,15,1.864524
33.907552,29,1.87668
35.374439,46,1.896628
9.668211,13,1.902115
8.932474,14,1.908166
12.651484,21,1.917384
9.428346,12,1.922513
16.350066,21,1.931608
16.256359,28,1.943825
21.271754,22,1.953502
8.716103,21,1.962795
12.233846,14,1.968819
32.463864,28,1.98082
22.846562,39,1.997685
13.240695,17,2.005187
9.279161,13,2.010795
15.575654,26,2.022323
8.077197,17,2.029742
6.47909,21,2.038488
12.09655,13,2.043661
29.868149,35,2.058954
7.52292,10,2.06315
50.720133,41,2.080607
6.740976,9,2.08441
10.180053,14,2.090387
11.039786,23,2.100306
7.093343,11,2.105075
23.980634,22,2.114481
15.282988,17,2.121743
8.928348,12,2.12671
29.065557,26,2.137866
9.519402,13,2.143473
9.207472,15,2.149758
34.612935,33,2.163793
20.124176,20,2.172376
19.336081,21,2.181524
10.777517,14,2.187613
32.223013,28,2.19961
7.225003,10,2.203902
10.119757,15,2.21044
10.690945,24,2.220405
16.484215,24,2.230366
48.375414,30,2.243216
14.404963,16,2.249966
23.424062,23,2.260087
9.708563,26,2.271453
15.510112,21,2.28046
6.404517,8,2.283968
11.751983,13,2.28957
21.549796,21,2.298247
56.735336,45,2.317331
37.343658,31,2.330592
8.043099,10,2.334963
16.715596,17,2.342044
9.374279,18,2.349233
20.421965,17,2.356606
20.364975,24,2.366975
10.445405,12,2.372137
10.3467,15,2.378675
22.411219,21,2.387683
10.762152,14,2.393702
17.101836,21,2.402741
23.042265,22,2.412327
7.054484,11,2.416894
25.816194,33,2.432161
94.448818,52,2.454443
6.296007,10,2.458665
6.151773,12,2.4639
36.825864,48,2.484661
9.94218,28,2.496708
12.453544,19,2.50497
21.740561,22,2.514414
8.853831,27,2.526109
14.081824,25,2.536905
7.41269,32,2.550718
16.732587,23,2.560714
13.960746,19,2.569159
27.245721,23,2.579136
12.812553,21,2.588475
16.612842,17,2.595487
5.248969,12,2.600326
9.2214,12,2.605592
6.245306,9,2.609488
9.617232,12,2.614799
10.779761,13,2.620452
10.248563,12,2.625913
9.39766,13,2.631429
8.869616,13,2.637026
7.018571,10,2.641469
7.182755,15,2.648096
8.7586,21,2.657281
11.840465,14,2.663292
8.176418,11,2.667887
33.063199,46,2.688297
56.978794,48,2.709262
6.539517,10,2.713751
7.128674,28,2.725913
9.216664,12,2.731095
12.137592,14,2.73711
4.913702,7,2.740138
14.210367,19,2.748414
10.07886,17,2.755859
12.309826,20,2.764585
6.611823,24,2.775247
8.8532,13,2.780767
8.505377,16,2.787783
20.928231,20,2.796436
5.635542,9,2.800332
5.938126,16,2.807369
10.031867,14,2.813434
20.142465,24,2.823958
5.000762,9,2.827829
10.865188,13,2.833533
4.734733,10,2.837891
14.247158,16,2.844899
7.433801,10,2.849141
123.532599,67,2.878025
9.006228,11,2.88269
19.676242,24,2.893037
10.012097,16,2.900019
16.287027,20,2.908808
8.378572,15,2.915489
22.932325,29,2.928312
7.158159,12,2.933374
14.001903,14,2.939513
16.47692,21,2.948512
12.260754,23,2.95866
12.145635,13,2.964309
12.147017,16,2.9713
9.934992,18,2.979146
14.973738,17,2.986592
9.103696,27,2.998355
22.057503,25,3.009362
10.94813,16,3.016371
9.075779,11,3.02109
18.18666,23,3.757705
10.239334,12,3.762869
